,Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
10,Australia,North America and ANZ,7.183,0.041,7.265,7.102,10.796,0.94,73.9,0.914,0.159,0.442,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,25550683,1.18%,296686,3,7682300,158246,1.8,38,86%,0.33%,25499881,25364307,3.565,37.9,1,0.405,9.102,1,0,0.335,33,,,,,,10,0,10,10,North America and ANZ,7.223,0.042,7.305,7.141,10.721,0.945,73.605,0.915,0.190,0.415,0.039,-0.040,0.075,-0.005,0.295,-0.001,-0.031,0.027
11,Israel,Middle East and North Africa,7.157,0.034,7.224,7.09,10.575,0.939,73.503,0.8,0.031,0.753,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,8678517,1.60%,136158,400,21640,10000,3,30,93%,0.11%,8655541,9053300,38.415,30.6,0,2.25,8.97,0,0,0.262,34.4,44425,44397,45794,49469,51.918,7,1,6,6,Middle East and North Africa,7.129,0.043,7.212,7.045,10.418,0.914,73.200,0.748,0.103,0.781,6.292,0.028,0.157,0.025,0.303,0.052,-0.072,-0.028
12,Germany,Western Europe,7.155,0.04,7.232,7.077,10.873,0.903,72.5,0.875,0.011,0.46,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,83830972,0.32%,266897,240,348560,543822,1.6,46,76%,1.07%,83783945,83132799,40.331,46.6,0,4.838,9.018,0,1,0.435,31.1,929351,952295,936772,1000855,73.548,10,0,10,10,Western Europe,7.076,0.036,7.146,7.006,10.733,0.899,72.202,0.867,0.080,0.456,0.766,0.079,0.140,0.004,0.298,0.008,-0.069,0.004
13,Canada,North America and ANZ,7.103,0.042,7.185,7.021,10.776,0.926,73.8,0.915,0.089,0.415,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,37799407,0.89%,331107,4,9093510,242032,1.5,41,81%,0.48%,37742157,37589262,41.418,41.4,0,2.296,9.268,0,0,0.482,35.25,,,,,,10,0,10,10,North America and ANZ,7.232,0.040,7.311,7.153,10.692,0.927,73.602,0.934,0.125,0.391,0.036,-0.129,0.084,-0.001,0.198,-0.019,-0.036,0.024
14,Ireland,Western Europe,7.085,0.04,7.164,7.006,11.342,0.947,72.4,0.879,0.077,0.363,2.43,1.644,1.092,0.753,0.606,0.238,0.367,2.384,4947267,1.13%,55291,72,68890,23604,1.8,38,63%,0.06%,4937796,4941444,45.304,38.7,1,3.188,9.1,0,0,0.431,30.6,,30621,30728,32271,32.32,10,0,10,10,Western Europe,7.094,0.040,7.172,7.016,11.161,0.942,72.301,0.887,0.146,0.357,0.803,-0.009,0.181,0.005,0.099,-0.008,-0.069,0.006
15,Costa Rica,Latin America and Caribbean,7.069,0.056,7.179,6.96,9.88,0.891,71.4,0.934,-0.126,0.809,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,5102158,0.92%,46557,100,51060,4200,1.8,33,80%,0.07%,5094114,5047561,42.893,33.6,0,0.864,9.549,0,0,0.213,48.6,,,,,,10,0,10,10,Latin America and Caribbean,7.121,0.045,7.209,7.034,9.658,0.902,71.300,0.935,-0.102,0.786,0.912,-0.052,0.222,-0.011,0.100,-0.001,-0.024,0.023
16,United Kingdom,Western Europe,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459,2.43,1.423,1.062,0.757,0.58,0.34,0.306,2.596,67948282,0.53%,355839,281,241930,260650,1.8,40,83%,0.87%,67886004,66834405,108.45,40.8,1,5.009,9.087,0,0,0.268,34.07,606874,613309,600532,696705,133.313,8,0,8,8,Western Europe,7.165,0.037,7.237,7.092,10.600,0.937,72.302,0.835,0.264,0.436,1.471,-0.101,0.107,-0.003,0.198,0.024,-0.031,0.023
17,Czech Republic,Central and Eastern Europe,6.965,0.049,7.062,6.868,10.556,0.947,70.807,0.858,-0.208,0.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,,,,,,,,,,,10708982,10669709,108.133,43.3,0,4.817,9.025,0,0,0.29,24,111007,112604,112040,131440,182.952,9,0,9,9,Central and Eastern Europe,6.911,0.043,6.995,6.827,10.404,0.914,70.048,0.819,-0.231,0.858,,0.054,0.152,0.033,0.759,0.039,0.023,0.010
18,United States,North America and ANZ,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807,331341050,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%,331002647,328239523,104.451,38.3,0,1.688,9.315,0,0,0.25,47.51,2810927,2839076,2852747,3424996,179.22,,,,,North America and ANZ,6.940,0.047,7.032,6.847,10.926,0.914,68.299,0.843,0.150,0.700,0.212,0.011,0.097,0.006,-0.099,-0.006,-0.052,-0.002
19,Belgium,Western Europe,6.834,0.034,6.901,6.767,10.823,0.906,72.199,0.783,-0.153,0.646,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,11598451,0.44%,50295,383,30280,48000,1.7,42,98%,0.15%,11589616,11484055,168.496,41.8,0,6.343,9.071,0,0,0.303,25.6,109278,110341,108436,128952,169.894,8,0,8,8,Western Europe,6.864,0.034,6.931,6.796,10.674,0.912,72.002,0.814,-0.079,0.612,1.661,-0.030,0.149,-0.006,0.197,-0.031,-0.074,0.034
20,France,Western Europe,6.69,0.037,6.762,6.618,10.704,0.942,74,0.822,-0.147,0.571,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,65298930,0.22%,143783,119,547557,36527,1.9,42,82%,0.84%,65273512,67059887,99.212,42,0,5.031,9.092,0,0,0.234,29.3,604105,607786,611291,678259,106.597,10,0,10,10,Western Europe,6.664,0.038,6.737,6.590,10.584,0.937,73.802,0.825,-0.131,0.584,0.263,0.026,0.120,0.005,0.198,-0.003,-0.016,-0.013
21,Bahrain,Middle East and North Africa,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,1711057,3.68%,60403,2239,760,47800,2,32,89%,0.02%,1701583,1641172,20.687,32.4,1,1.667,8.852,0,0,0.487,59.6,,,,,,0,10,-10,-10,Middle East and North Africa,6.227,0.082,6.388,6.067,10.676,0.876,68.500,0.906,0.134,0.739,79.478,0.420,-0.007,-0.014,0.995,0.019,-0.045,-0.017
22,Malta,Western Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,441750,0.27%,1171,1380,320,900,1.5,43,93%,0.01%,441539,502653,49.599,42.4,1,2.822,9.097,0,0,0.403,28.7,3556,3672,3684,4093,96.52,,,,,Western Europe,6.773,0.043,6.857,6.689,10.534,0.930,72.200,0.925,0.215,0.659,3.659,-0.171,0.140,0.001,0.000,0.002,-0.082,-0.006
23,Taiwan Province of China,East Asia,6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,,,,,,,,,,,23816775,23780000,0.029,42.2,0,0.888,8.088,1,1,0.158,29.467,171242,172784,176296,173156,-1.196,,,,,East Asia,6.455,0.039,6.532,6.379,10.776,0.894,69.600,0.772,-0.073,0.732,,0.129,0.095,0.004,0.000,0.012,0.003,-0.011
24,United Arab Emirates,Middle East and North Africa,6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,9910892,1.23%,119873,118,83600,40000,1.4,33,86%,0.13%,9890400,9770529,6.764,34,0,1.199,8.821,0,0,0.694,38.3,,,,,,,,,,Middle East and North Africa,6.791,0.041,6.871,6.711,11.110,0.849,67.083,0.941,0.123,0.595,1.434,-0.230,-0.025,-0.005,0.250,-0.009,-0.049,-0.006
25,Saudi Arabia,Middle East and North Africa,6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,34905942,1.59%,545343,16,2149690,134979,2.3,32,84%,0.45%,34813867,34268528,17.875,31.9,0,1.25,8.897,0,0,0.651,45.9,,,,,,0,10,-10,-10,Middle East and North Africa,6.406,0.057,6.517,6.296,10.798,0.874,66.305,0.854,-0.169,0.683,0.254,0.088,-0.055,0.017,0.298,0.023,0.020,0.001
26,Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,46757980,0.04%,18002,94,498800,40000,1.3,45,80%,0.60%,46754783,47076781,108.731,45.5,0,4.332,9.172,0,0,0.143,33.2,420589,423994,414914,501106,173.233,10,0,10,10,Western Europe,6.401,0.042,6.484,6.318,10.463,0.921,74.403,0.752,-0.051,0.766,0.036,0.090,0.108,0.011,0.297,0.009,-0.030,-0.021
27,Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,60446035,-0.15%,-88249,206,294140,148943,1.3,47,69%,0.78%,60461828,60297396,122.654,47.9,0,5.501,9.078,0,0,0.076,33.4,656891,638884,642964,756317,182.298,10,0,10,10,Western Europe,6.387,0.043,6.472,6.303,10.482,0.890,73.602,0.665,-0.043,0.873,-0.300,0.096,0.141,-0.010,0.198,0.028,-0.041,-0.007
28,Slovenia,Central and Eastern Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,2078989,0.01%,284,103,20140,2000,1.6,45,55%,0.03%,2078932,2087946,129.73,44.5,0,4.308,9.045,0,0,0.177,23.4,20436,20428,20547,24277,182.711,10,0,10,10,Central and Eastern Europe,6.363,0.044,6.449,6.277,10.392,0.940,71.103,0.936,-0.081,0.817,0.014,0.098,0.137,0.008,0.297,0.013,-0.020,-0.011
29,Guatemala,Latin America and Caribbean,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,17971382,1.90%,334096,167,107160,-9215,2.9,23,52%,0.23%,17915567,16604026,26.865,22.9,0,0.864,9.497,0,0,0.286,44.488,,,,,,9,1,8,8,Latin America and Caribbean,6.399,0.058,6.513,6.284,8.925,0.817,64.809,0.908,-0.043,0.783,3.118,0.036,0.128,-0.004,0.149,-0.002,0.005,-0.008
30,Uruguay,Latin America and Caribbean,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,3475842,0.35%,11996,20,175020,-3000,2,36,96%,0.04%,3473727,3461734,5.21,35.6,0,0.572,9.711,0,0,0.247,39.25,,,,,,10,0,10,10,Latin America and Caribbean,6.440,0.045,6.529,6.351,9.948,0.923,69.003,0.892,-0.101,0.636,0.069,-0.009,0.018,0.002,0.097,0.004,0.009,-0.046
31,Singapore,Southeast Asia,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,5858322,0.79%,46005,8358,700,27028,1.2,42,N.A.,0.08%,5850343,5703569,0.496,42.4,1,1.26,8.426,1,1,0.869,45.2,20905,21282,21446,22000,13.658,2,4,-2,-2,Southeast Asia,6.377,0.033,6.442,6.312,11.396,0.910,76.805,0.927,0.030,0.110,65.721,0.000,0.092,0.005,0.148,0.000,-0.048,-0.028
32,Kosovo,Central and Eastern Europe,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,,,,,,,,,,,1932774,1794248,68.916,35,0,3.134,9.015,0,1,0.169,29.01,8738,8866,9552,11108,110.329,8,0,8,8,Central and Eastern Europe,6.325,0.052,6.428,6.223,9.204,0.821,63.886,0.862,0.191,0.922,,0.047,0.114,0.000,-0.073,0.007,0.066,-0.005
33,Slovakia,Central and Eastern Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,5460109,0.05%,2629,114,48088,1485,1.5,41,54%,0.07%,5459643,5454073,39.16,41.2,0,4.655,9.019,0,1,0.195,23.2,53702,54137,53115,60277,121.419,,,,,Central and Eastern Europe,6.281,0.039,6.357,6.204,10.348,0.922,68.906,0.750,-0.124,0.918,0.055,0.050,0.021,0.014,0.295,0.016,0.000,-0.007
