,Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
45,Romania,Central and Eastern Europe,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,19214608,-0.66%,-126866,84,230170,-73999,1.6,43,55%,0.25%,19237682,19356544,81.959,43,0,2.517,8.981,0,0,0.1,35.1,,,,,,9,0,9,9,Central and Eastern Europe,6.124,0.047,6.217,6.031,10.108,0.825,67.207,0.843,-0.198,0.934,-0.551,0.016,0.176,0.007,0.148,0.002,-0.021,0.004
46,Kuwait,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,4281320,1.51%,63488,240,17820,39520,2.1,37,N.A.,0.05%,4270563,4207083,21.871,33.7,0,1.497,8.865,0,0,0.388,36.02,,,,,,0,7,-7,-7,Middle East and North Africa,6.102,0.053,6.207,5.998,11.090,0.846,66.768,0.872,-0.100,0.761,3.563,0.004,-0.273,-0.003,0.132,-0.005,-0.004,-0.025
47,Serbia,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,8731081,-0.40%,-34864,100,87460,4000,1.5,42,56%,0.11%,6804596,6944975,47.189,41.2,0,3.134,9.015,0,1,0.221,37.8,103722,101655,102131,114954,181.116,9,1,8,8,Central and Eastern Europe,5.778,0.051,5.878,5.679,9.681,0.881,68.210,0.726,-0.074,0.844,-0.399,0.300,0.106,-0.008,0.390,0.052,0.076,-0.009
48,El Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,6491923,0.51%,32652,313,20720,-40539,2.1,28,73%,0.08%,6486201,6453553,20.459,27.6,0,0.863,9.508,0,0,0.239,40.5,,,,,,8,0,8,8,Latin America and Caribbean,6.348,0.058,6.462,6.234,8.909,0.806,66.108,0.834,-0.121,0.754,1.576,-0.287,0.145,-0.044,0.294,0.054,0.011,-0.066
49,Mauritius,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,1272140,0.17%,2100,626,2030,0,1.4,37,41%,0.02%,1271767,1265711,0.786,37.4,1,0.624,9.084,0,0,0.411,38.47,10140,10787,11174,11060,28.348,10,0,10,10,Sub-Saharan Africa,6.101,0.057,6.213,5.989,9.957,0.910,66.404,0.890,-0.018,0.805,1.034,-0.052,0.051,-0.005,0.297,-0.023,-0.036,-0.016
50,Latvia,Central and Eastern Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,1882408,-1.08%,-20545,30,62200,-14837,1.7,44,69%,0.02%,1886202,1912789,33.666,43.9,0,2.49,8.943,0,0,0.096,35.6,28659,28743,27632,28989,33.921,8,0,8,8,Central and Eastern Europe,5.950,0.035,6.018,5.882,10.175,0.918,66.807,0.671,-0.187,0.796,-0.330,0.082,0.140,0.009,0.293,0.044,0.025,0.004
51,Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,50976248,1.08%,543448,46,1109500,204796,1.8,31,80%,0.65%,50882884,50339443,84.926,32.2,0,0.814,9.606,0,0,0.113,52,226799,236228,243648,301480,130.251,7,0,7,7,Latin America and Caribbean,6.163,0.056,6.274,6.053,9.500,0.884,67.700,0.836,-0.161,0.865,0.490,-0.151,0.057,-0.037,0.301,0.001,0.026,-0.024
52,Hungary,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,9655983,-0.25%,-24328,107,90530,6000,1.5,43,72%,0.12%,9660350,9769949,98.723,43.4,0,3.555,9.011,0,0,0.253,28.7,131293,130624,129266,142921,128.939,10,0,10,10,Central and Eastern Europe,6.000,0.039,6.078,5.923,10.249,0.922,67.610,0.719,-0.194,0.893,-0.269,-0.008,0.109,0.021,0.390,0.036,0.008,-0.017
53,Thailand,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,69830779,0.25%,174396,137,510890,19444,1.5,40,51%,0.90%,69799978,69625582,0.09,40.1,0,0.751,8.27,0,0,0.354,35.315,468911,473541,506211,501438,26.61,0,3,-3,-3,Southeast Asia,5.999,0.043,6.082,5.915,9.742,0.890,67.251,0.905,0.269,0.886,0.341,-0.014,0.063,-0.002,0.150,-0.021,0.018,0.009
54,Nicaragua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,6638075,1.21%,79052,55,120340,-21272,2.4,26,57%,0.08%,6624554,6545502,2.491,27.3,0,0.86,9.528,0,0,0.28,46.515,,,,,,7,1,6,6,Latin America and Caribbean,6.137,0.064,6.262,6.012,8.493,0.857,67.507,0.864,0.021,0.666,0.657,-0.165,0.127,0.007,0.150,-0.028,-0.001,-0.002
55,Japan,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,126407422,-0.30%,-383840,347,364555,71560,1.4,48,92%,1.62%,126476458,126264931,2.603,48.2,1,0.863,8.39,1,0,0.317,33.9,1340567,1362470,1387775,1376426,10.146,10,0,10,10,East Asia,5.871,0.041,5.952,5.790,10.580,0.884,75.001,0.810,-0.247,0.655,-1.053,0.069,0.031,0.000,0.099,-0.014,-0.011,-0.017
56,Argentina,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,45267449,0.93%,415097,17,2736690,4800,2.3,32,93%,0.58%,45195777,44938712,95.684,31.9,0,0.549,9.717,0,0,0.091,39.6,,,,,,9,0,9,9,Latin America and Caribbean,5.975,0.053,6.079,5.870,9.811,0.901,68.804,0.831,-0.195,0.842,0.152,-0.046,0.151,-0.003,0.196,-0.003,0.013,-0.008
57,Portugal,Western Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,10191409,-0.29%,-29478,111,91590,-6000,1.3,46,66%,0.13%,10196707,10269417,67.728,46.2,0,3.224,9.207,0,0,0.248,32.1,109283,112692,111474,125500,140.235,10,0,10,10,Western Europe,5.911,0.053,6.015,5.807,10.264,0.887,72.402,0.889,-0.221,0.893,-0.322,0.018,0.157,-0.008,0.198,0.003,-0.023,-0.006
58,Honduras,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,9931333,1.63%,158490,89,111890,-6800,2.5,24,57%,0.13%,9904608,9588000,31.602,24.9,0,0.887,9.511,0,0,0.209,48.1,,,,,,7,0,7,7,Latin America and Caribbean,5.953,0.066,6.082,5.824,8.425,0.822,67.199,0.871,0.087,0.801,1.416,-0.034,0.223,-0.010,0.101,-0.014,-0.006,0.008
59,Croatia,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0,2.325,4100719,-0.61%,-25037,73,55960,-8001,1.4,44,58%,0.05%,4105268,4067500,95.487,44,0,4.057,9.037,0,0,0.131,29.7,53269,52562,51611,57922,133.158,9,0,9,9,Central and Eastern Europe,5.505,0.038,5.579,5.431,10.071,0.875,70.215,0.715,-0.129,0.916,-0.447,0.377,0.146,0.049,0.584,0.039,0.011,0.023
60,Philippines,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,109830324,1.35%,1464463,368,298170,-67152,2.6,26,47%,1.41%,109581085,108116615,8.436,25.2,1,0.74,8.226,1,0,0.52,42.23,,,,,,8,0,8,8,Southeast Asia,6.006,0.050,6.104,5.908,8.994,0.847,61.927,0.915,-0.105,0.734,4.912,-0.126,0.082,-0.017,0.073,0.002,0.008,0.008
61,South Korea,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,51276977,0.09%,43877,527,97230,11731,1.1,44,82%,0.66%,51269183,51709098,1.789,43.4,0,1.607,8.228,1,0,0.112,35.5,284548,298030,294080,308318,31.266,,,,,East Asia,5.872,0.044,5.959,5.786,10.511,0.799,73.603,0.613,-0.043,0.789,0.451,-0.027,0.140,0.000,0.297,0.059,-0.040,-0.062
62,Peru,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,33050211,1.42%,461401,26,1280000,99069,2.3,31,79%,0.42%,32971846,32510453,114.279,29.1,0,0.636,9.69,0,0,0.096,43.9,98704,112516,114560,214503,323.476,9,0,9,9,Latin America and Caribbean,5.797,0.061,5.917,5.677,9.456,0.831,68.100,0.825,-0.162,0.894,0.360,0.043,0.002,0.001,0.150,-0.003,0.008,-0.003
63,Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,3277152,-0.61%,-20181,64,51000,-21585,1.3,43,52%,0.04%,3280815,3301000,123.445,42.5,0,3.509,9.032,0,0,0.064,33.03,,,,,,,,,,Central and Eastern Europe,5.674,0.046,5.765,5.583,9.456,0.829,67.808,0.651,0.098,0.934,-0.396,0.139,0.134,0.041,0.290,0.055,0.015,-0.003
64,Moldova,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,4032294,-0.23%,-9300,123,32850,-1387,1.3,38,43%,0.05%,4033963,2657637,73.997,37.6,0,2.348,8.952,0,0,0.104,25.9,36768,37176,36794,40382,103.692,9,0,9,9,Commonwealth of Independent States,5.608,0.042,5.690,5.525,8.777,0.843,65.013,0.722,-0.038,0.913,-0.283,0.158,0.677,0.014,0.686,0.100,-0.041,0.005
65,Ecuador,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,17688599,1.55%,269392,71,248360,36400,2.4,28,63%,0.23%,17643060,17373662,79.544,28.1,0,0.789,9.634,0,0,0.205,45.4,70049,71769,73479,115842,251.745,6,1,5,5,Latin America and Caribbean,5.925,0.053,6.029,5.822,9.246,0.836,68.500,0.860,-0.127,0.801,1.085,-0.161,0.067,-0.015,0.300,-0.018,0.003,0.042
66,Kyrgyzstan,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,6542426,1.69%,108345,34,191800,-4000,3,26,36%,0.08%,6524191,6456900,20.769,26.3,0,1.08,8.566,0,0,0.186,27.34,33166,32989,33295,39977,105.184,8,0,8,8,Commonwealth of Independent States,5.542,0.044,5.627,5.456,8.148,0.887,64.106,0.909,0.155,0.888,0.565,0.202,0.390,0.006,0.295,0.026,-0.036,0.020
67,Greece,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0,0.074,2.561,10413936,-0.48%,-50401,81,128900,-16000,1.3,46,85%,0.13%,10423056,10716322,46.416,45.3,0,2.327,9.026,0,1,0.124,32.3,124069,119952,124538,132966,95.679,10,0,10,10,Western Europe,5.515,0.047,5.607,5.423,10.132,0.814,72.405,0.541,-0.301,0.860,-0.391,0.208,0.147,0.009,0.195,0.041,0.013,-0.037
68,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,11700207,1.39%,159921,11,1083300,-9504,2.8,26,69%,0.15%,11673029,11513100,78.514,25.4,0,0.609,9.726,0,0,0.101,43.8,,,,,,7,0,7,7,Latin America and Caribbean,5.747,0.051,5.847,5.648,8.851,0.803,63.600,0.876,-0.092,0.823,0.148,-0.031,0.195,0.007,0.301,-0.001,0.015,0.016
69,Mongolia,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,3287242,1.65%,53123,2,1553560,-852,2.9,28,67%,0.04%,3278292,3225167,0.031,28.6,0,1.14,8.326,1,0,0.102,32.35,15812,17331,17205,15922,-26.468,10,0,10,10,East Asia,5.456,0.040,5.535,5.377,9.412,0.937,62.304,0.693,0.098,0.864,0.034,0.221,-0.012,-0.002,0.196,0.015,0.018,-0.008
70,Paraguay,Latin America and Caribbean,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,7147553,1.25%,87902,18,397300,-16556,2.4,26,62%,0.09%,7132530,7044636,31.714,26.5,0,0.591,9.726,0,0,0.138,47.4,29021,31258,32362,34139,45.971,9,0,9,9,Latin America and Caribbean,5.692,0.052,5.794,5.590,9.390,0.899,65.640,0.886,0.008,0.835,0.221,-0.039,0.058,-0.006,0.260,-0.010,0.020,0.047
71,Montenegro,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,628080,0.01%,79,47,13450,-480,1.8,39,68%,0.01%,628062,622137,108.588,39.1,0,3.134,9.015,0,0,0.216,31.93,,,,,,9,0,9,9,Central and Eastern Europe,5.546,0.049,5.642,5.450,9.752,0.855,68.505,0.650,-0.076,0.783,0.006,0.035,0.188,0.003,0.194,0.058,0.042,0.029
72,Dominican Republic,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,10866667,1.01%,108952,225,48320,-30000,2.4,28,85%,0.14%,10847904,10738958,22.253,27.6,1,1.13,9.503,0,0,0.199,44.4,,,,,,8,1,7,7,Latin America and Caribbean,5.689,0.070,5.826,5.552,9.665,0.882,65.807,0.866,-0.131,0.756,2.255,-0.144,0.137,-0.029,0.295,-0.006,-0.002,-0.042
73,North Cyprus,Western Europe,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,,,,,,,,,,,,,,,0,,,0,0,0.305,,,,,,,,,,,Western Europe,5.536,0.051,5.636,5.435,10.406,0.820,73.702,0.795,0.000,0.626,,0.000,0.170,0.000,0.196,0.000,0.012,0.000
74,Belarus,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,9448772,-0.03%,-3088,47,202910,8730,1.7,40,79%,0.12%,9449321,9466856,15.07,40.3,0,2.377,8.935,0,0,0.242,25.44,,,,,,0,7,-7,-7,Commonwealth of Independent States,5.540,0.037,5.613,5.467,9.780,0.907,66.104,0.639,-0.165,0.636,-0.015,-0.006,0.073,0.003,0.149,0.011,-0.015,-0.009
75,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,145945524,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%,145934460,144373535,38.559,39.6,0,1.771,8.869,0,0,0.196,34.56,1824340,1827827,1800683,2124479,211.405,5,1,4,4,Commonwealth of Independent States,5.546,0.040,5.624,5.468,10.129,0.903,64.100,0.730,-0.151,0.865,0.004,-0.069,0.060,0.000,0.603,-0.012,0.040,-0.020
76,Hong Kong S.A.R. of China,East Asia,5.477,0.049,5.573,5.38,11,0.836,76.82,0.717,0.067,0.403,2.43,1.525,0.841,0.893,0.408,0.232,0.342,1.236,,,,,,,,,,,7496988,7451000,1.974,44.8,0,1.179,8.044,1,0,0.318,48.275,45883,47478,48706,50653,44.117,,,,,East Asia,5.510,0.046,5.601,5.420,10.935,0.846,76.772,0.780,0.135,0.421,,-0.033,0.065,-0.010,0.048,-0.063,-0.068,-0.018
77,Tajikistan,Commonwealth of Independent States,5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,9573310,2.32%,216627,68,139960,-20000,3.6,22,27%,0.12%,9537642,9321018,0.944,23.3,0,1.135,8.624,0,0,0.554,34,32027,32699,33537,41743,95.327,1,4,-3,-3,Commonwealth of Independent States,5.556,0.032,5.619,5.492,8.025,0.835,64.105,0.831,-0.025,0.592,1.548,-0.090,0.066,0.025,0.176,0.001,-0.031,-0.039
78,Vietnam,Southeast Asia,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,97490013,0.91%,876473,314,310070,-80000,2.1,32,38%,1.25%,97338583,96462106,0.036,32.6,0,0.807,8.108,1,0,0.49,40.1,,,,,,0,7,-7,-7,Southeast Asia,5.353,0.034,5.420,5.287,8.810,0.850,67.953,0.940,-0.095,0.796,2.827,0.058,0.163,0.000,0.081,0.000,-0.003,0.000
79,Libya,Middle East and North Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,6887247,1.38%,93840,4,1759540,-1999,2.3,29,78%,0.09%,6871287,6777452,21.51,29,0,2.194,9.122,0,0,0.311,30.2,,,,,,-77,-77,-77,0,Middle East and North Africa,5.489,0.061,5.608,5.370,9.790,0.826,62.300,0.773,-0.085,0.669,0.053,-0.079,-0.168,0.001,0.000,-0.002,-0.002,-0.002
80,Malaysia,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,32436963,1.30%,416222,99,328550,50000,2,30,78%,0.42%,32365998,31949777,1.455,29.9,0,0.714,8.415,1,0,0.443,41.04,168100,172100,173700,174300,9.329,7,0,7,7,Southeast Asia,5.384,0.049,5.480,5.289,10.263,0.817,67.102,0.895,0.115,0.839,1.267,0.000,-0.025,0.000,0.000,0.000,0.010,0.000
81,Indonesia,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,274021604,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%,273523621,270625568,8.094,29.3,1,0.576,8.578,0,0,0.561,37.478,,,,,,9,0,9,9,Southeast Asia,5.286,0.048,5.379,5.192,9.370,0.808,62.156,0.871,0.520,0.876,1.600,0.059,-0.005,0.003,0.080,0.002,0.022,-0.009
82,Congo (Brazzaville),Sub-Saharan Africa,5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,,,,,,,,,,,5518092,5380508,1.957,19,0,0.853,9.287,0,0,0.238,48.94,,,,,,,,,,Sub-Saharan Africa,5.194,0.077,5.345,5.043,8.537,0.640,57.924,0.719,-0.124,0.752,,0.148,-0.420,-0.004,0.297,-0.024,0.056,-0.007
83,China,East Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,1440297825,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%,1439323774,1397715000,0.332,38.7,0,1.097,8.213,1,0,0.516,46.7,,,,,,0,7,-7,-7,East Asia,5.124,0.026,5.175,5.073,9.689,0.799,69.289,0.899,-0.181,0.754,0.590,0.215,-0.016,0.012,0.304,0.005,0.035,0.001
84,Ivory Coast,Sub-Saharan Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,,,,,,,,,,,26378275,25716544,0.519,18.7,0,0.964,9.365,0,0,0.285,48.594,,,,,,,,,,Sub-Saharan Africa,5.233,0.073,5.377,5.090,8.226,0.658,49.504,0.728,-0.044,0.791,,0.073,0.325,-0.014,0.610,0.013,0.028,0.003
85,Armenia,Commonwealth of Independent States,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,2964219,0.19%,5512,104,28470,-4998,1.8,35,63%,0.04%,2963234,2957731,95.268,35.7,0,1.762,8.858,0,0,0.174,33.62,27367,25645,26252,35371,302.304,7,0,7,7,Commonwealth of Independent States,4.677,0.059,4.792,4.562,9.100,0.757,66.751,0.712,-0.139,0.774,0.194,0.606,0.387,0.042,0.304,0.113,-0.029,-0.145
86,Nepal,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,29225196,1.85%,528098,203,143350,41710,1.9,25,21%,0.37%,29136808,28608710,6.37,25,0,0.877,8.418,0,1,0.392,32.84,,,,,,8,1,7,7,South Asia,5.137,0.058,5.250,5.024,7.925,0.786,63.779,0.798,0.154,0.738,3.684,0.132,0.195,-0.012,0.454,-0.016,-0.002,-0.011
87,Bulgaria,Central and Eastern Europe,5.266,0.054,5.371,5.16,10.016,0.931,67,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,6939018,-0.74%,-51674,64,108560,-4800,1.6,45,76%,0.09%,6948445,6975761,109.032,44.7,0,2.692,9.007,0,0,0.073,39.6,109330,108247,107849,126525,259.256,9,0,9,9,Central and Eastern Europe,5.102,0.044,5.188,5.015,9.869,0.938,66.804,0.745,-0.144,0.936,-0.476,0.164,0.147,-0.007,0.196,0.043,0.048,-0.004
88,Maldives,South Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,542151,1.81%,9591,1802,300,11370,1.9,30,35%,0.01%,540542,530953,8.88,30.6,1,0.712,8.738,0,0,0.327,37.343,,,,,,,,,,South Asia,5.198,0.072,5.339,5.057,9.519,0.913,70.600,0.854,0.038,0.824,31.970,0.000,0.307,0.000,0.000,0.000,-0.014,0.001
89,Azerbaijan,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,10154978,0.91%,91459,123,82658,1200,2.1,32,56%,0.13%,10139175,10023318,26.048,32.4,0,1.752,8.81,0,0,0.352,26.6,57109,57250,56447,75647,185.609,0,7,-7,-7,Commonwealth of Independent States,5.165,0.034,5.232,5.098,9.688,0.819,65.508,0.787,-0.240,0.553,1.106,0.006,-0.119,0.017,0.148,0.027,0.017,-0.047
90,Cameroon,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,26655083,2.59%,669483,56,472710,-4800,4.6,19,56%,0.34%,26545864,25876380,1.688,18.8,0,0.919,9.276,0,0,0.281,46.64,,,,,,1,5,-4,-4,Sub-Saharan Africa,5.085,0.067,5.217,4.953,8.119,0.700,52.705,0.763,-0.001,0.851,1.416,0.057,0.070,0.010,0.810,-0.032,0.027,-0.003
91,Senegal,Sub-Saharan Africa,5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,16816539,2.75%,447563,87,192530,-20000,4.7,19,49%,0.21%,16743930,16296364,2.449,18.7,0,1.062,9.39,0,0,0.355,40.29,,,,,,7,0,7,7,Sub-Saharan Africa,4.981,0.053,5.084,4.877,8.119,0.724,59.599,0.691,-0.052,0.809,2.325,0.151,-0.001,-0.014,0.203,0.004,0.006,-0.008
92,Albania,Central and Eastern Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,2877239,-0.11%,-3120,105,27400,-14000,1.6,36,63%,0.04%,2877800,2854191,41.038,38,0,3.058,9.036,0,0,0.15,28.96,,,,,,9,0,9,9,Central and Eastern Europe,4.883,0.056,4.993,4.773,9.418,0.671,68.708,0.782,-0.042,0.896,-0.114,0.234,0.102,0.026,0.291,0.003,0.012,0.005
93,North Macedonia,Central and Eastern Europe,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,2083359,0.00%,-85,83,25220,-1000,1.5,39,59%,0.03%,2083380,2083459,120.141,39.1,0,2.875,9.022,0,0,0.105,32.4,20318,19727,20412,25049,235.03,,,,,,,,,,,,,,,,-0.003,,,,,,,
94,Ghana,Sub-Saharan Africa,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,31181428,2.15%,655084,137,227540,-10000,3.9,22,57%,0.40%,31072945,30417856,1.078,21.1,0,0.952,9.342,0,0,0.305,43.52,,,,,,8,0,8,8,Sub-Saharan Africa,5.148,0.059,5.263,5.033,8.351,0.729,57.204,0.795,0.094,0.848,2.879,-0.060,0.229,-0.002,0.382,0.012,0.029,0.000
