Country name,Regional indicator_x,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Population_2020,Population_2019,"COVID-19_deaths_per_100,000_population_in_2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018",All-cause death _count_2019,All-cause_death_count_2020,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",democ,autoc,polity,polity2,Regional indicator_y,Ladder score 2020,Standard error of ladder score 2020,upperwhisker 2020,lowerwhisker 2020,Logged GDP per capita 2020,Social support 2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020,Population_density_net_change,Change_in_ladder_score,Change_in_GDP_per_capita,Change_in_social_support,Change_in_healthy_life_expectancy,Change_in_freedom_to_make_life_choice,Change_in_generosity_2020,Change_in_perceptions_of_corruption
Bahrain,Middle East and North Africa,6.647,0.068,6.779,6.514,10.669,0.862,69.495,0.925,0.089,0.722,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,1711057.0,3.68 %,60403.0,2239.0,760.0,47800.0,2.0,32,89 %,0.02 %,1701583.0,1641172.0,20.687,32.4,1.0,1.667,8.852,0.0,0.0,0.487,59.6,,,,,,0.0,10.0,-10.0,-10.0,Middle East and North Africa,6.227300167,0.081882261,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,79.47763157894737,0.41969983300000013,-0.007380160000000302,-0.01434211799999996,0.9950000000000045,0.019144225000000015,-0.04472919,-0.01734710000000006
Malta,Western Europe,6.602,0.044,6.688,6.516,10.674,0.931,72.2,0.927,0.133,0.653,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,441750.0,0.27 %,1171.0,1380.0,320.0,900.0,1.5,43,93 %,0.01 %,441539.0,502653.0,49.599,42.4,1.0,2.822,9.097,0.0,0.0,0.403,28.7,3556.0,3672.0,3684.0,4093.0,96.52,,,,,Western Europe,6.772799969,0.042958103,6.856997967,6.688601971,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,3.659375,-0.17079996899999994,0.1401617299999991,0.0006204900000000846,3.050000003668174e-06,0.0020885610000001,-0.081965805,-0.005547281999999987
Taiwan Province of China,East Asia,6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,,,,,,,,,,,23816775.0,23780000.0,0.029,42.2,0.0,0.888,8.088,1.0,1.0,0.158,29.467,171242.0,172784.0,176296.0,173156.0,-1.196,,,,,East Asia,6.45539999,0.039139576,6.532113552,6.378686428,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293,,0.12860000999999954,0.09531469000000037,0.0036908970000000263,1.5299999915896478e-06,0.012469669999999988,0.003198698,-0.010882930000000068
United Arab Emirates,Middle East and North Africa,6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,9910892.0,1.23 %,119873.0,118.0,83600.0,40000.0,1.4,33,86 %,0.13 %,9890400.0,9770529.0,6.764,34.0,0.0,1.199,8.821,0.0,0.0,0.694,38.3,,,,,,,,,,Middle East and North Africa,6.790800095,0.040698379,6.870568752,6.711031437,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,1.4338875598086125,-0.22980009499999987,-0.024998699999999374,-0.005181116000000041,0.250213439999996,-0.009345512999999972,-0.04945084500000001,-0.005502211000000035
Saudi Arabia,Middle East and North Africa,6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,34905942.0,1.59 %,545343.0,16.0,2149690.0,134979.0,2.3,32,84 %,0.45 %,34813867.0,34268528.0,17.875,31.9,0.0,1.25,8.897,0.0,0.0,0.651,45.9,,,,,,0.0,10.0,-10.0,-10.0,Middle East and North Africa,6.406499863,0.056533612,6.517305851,6.295693874,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,0.25368448473966015,0.08750013700000014,-0.054812459999999064,0.01693293200000001,0.2978547399999911,0.022808755999999986,0.019695062000000013,0.001380488000000013
Spain,Western Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,46757980.0,0.04 %,18002.0,94.0,498800.0,40000.0,1.3,45,80 %,0.60 %,46754783.0,47076781.0,108.731,45.5,0.0,4.332,9.172,0.0,0.0,0.143,33.2,420589.0,423994.0,414914.0,501106.0,173.233,10.0,0.0,10.0,10.0,Western Europe,6.400899887,0.04230037,6.483808517,6.317991257,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,0.036090617481956695,0.09010011300000009,0.10807314000000012,0.010874588000000074,0.29729004000000714,0.009010457000000027,-0.030038286000000004,-0.020859901999999986
Italy,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,60446035.0,-0.15 %,-88249.0,206.0,294140.0,148943.0,1.3,47,69 %,0.78 %,60461828.0,60297396.0,122.654,47.9,0.0,5.501,9.078,0.0,0.0,0.076,33.4,656891.0,638884.0,642964.0,756317.0,182.298,10.0,0.0,10.0,10.0,Western Europe,6.38740015,0.043288074,6.47224474,6.302555561,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,-0.30002379819133745,0.09559984999999926,0.14116368,-0.009878571000000003,0.19831542999999385,0.02834800999999998,-0.040539001000000005,-0.007404681999999996
Slovenia,Central and Eastern Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,2078989.0,0.01 %,284.0,103.0,20140.0,2000.0,1.6,45,55 %,0.03 %,2078932.0,2087946.0,129.73,44.5,0.0,4.308,9.045,0.0,0.0,0.177,23.4,20436.0,20428.0,20547.0,24277.0,182.711,10.0,0.0,10.0,10.0,Central and Eastern Europe,6.363399982,0.043841314,6.449328899,6.277471066,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,0.0141012909632572,0.09760001800000051,0.13667745999999958,0.008424327999999925,0.29701080000000957,0.012857377000000003,-0.020396617000000006,-0.011071020999999903
Guatemala,Latin America and Caribbean,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,17971382.0,1.90 %,334096.0,167.0,107160.0,-9215.0,2.9,23,52 %,0.23 %,17915567.0,16604026.0,26.865,22.9,0.0,0.864,9.497,0.0,0.0,0.286,44.488,,,,,,9.0,1.0,8.0,8.0,Latin America and Caribbean,6.398900032,0.058398303,6.5133605,6.284439564,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457,3.1177304964539005,0.03609996799999937,0.1281943590000001,-0.003621482000000009,0.14905530000000056,-0.0021475730000000137,0.004938665000000002,-0.008237457000000004
Uruguay,Latin America and Caribbean,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,3475842.0,0.35 %,11996.0,20.0,175020.0,-3000.0,2.0,36,96 %,0.04 %,3473727.0,3461734.0,5.21,35.6,0.0,0.572,9.711,0.0,0.0,0.247,39.25,,,,,,10.0,0.0,10.0,10.0,Latin America and Caribbean,6.440100193,0.045419082,6.529121399,6.351078987,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,0.06854073820134841,-0.00910019300000009,0.01780740399999914,0.002188730000000083,0.0974517800000001,0.003604563000000005,0.009103111999999997,-0.04599413600000002
Singapore,Southeast Asia,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,5858322.0,0.79 %,46005.0,8358.0,700.0,27028.0,1.2,42,N.A.,0.08 %,5850343.0,5703569.0,0.496,42.4,1.0,1.26,8.426,1.0,1.0,0.869,45.2,20905.0,21282.0,21446.0,22000.0,13.658,2.0,4.0,-2.0,-2.0,Southeast Asia,6.377099991,0.033258967,6.442287445,6.311912537,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,65.72142857142858,-9.999099999991046e-05,0.09247884000000006,0.004731038000000076,0.1484193100000084,0.00035466100000003387,-0.047879224,-0.027784193
Kosovo,Central and Eastern Europe,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,,,,,,,,,,,1932774.0,1794248.0,68.916,35.0,0.0,3.134,9.015,0.0,1.0,0.169,29.01,8738.0,8866.0,9552.0,11108.0,110.329,8.0,0.0,8.0,8.0,Central and Eastern Europe,6.325200081,0.052216277,6.427544117,6.222856045,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,,0.04679991899999969,0.11357037400000003,0.00027348599999998946,-0.07255526999999518,0.0074640929999999495,0.066066236,-0.0053282929999999284
Slovakia,Central and Eastern Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,5460109.0,0.05 %,2629.0,114.0,48088.0,1485.0,1.5,41,54 %,0.07 %,5459643.0,5454073.0,39.16,41.2,0.0,4.655,9.019,0.0,1.0,0.195,23.2,53702.0,54137.0,53115.0,60277.0,121.419,,,,,Central and Eastern Europe,6.280600071,0.03889757,6.35683918,6.204360962,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,0.05467060389286309,0.05039992900000012,0.02125028999999934,0.013506244,0.29465845,0.01604732600000003,0.00040930299999999975,-0.007096125000000009
